text,label
"YOUR DELIVERY IS ON HOLD, PAY A CUSTOMS FEE TO RELEASE YOUR PACKAGE: HTTP://TINYURL.COM/CUSTOMS-FEE",1
Your package could not be delivered. Confirm your address and pay a small fee here: http://tinyurl.com/redeliver,1
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login,1
"Your gym class tomorrow is at 6am, don't forget your mat. ",0
ACT NOW! YOUR ACCOUNT ACCESS EXPIRES TODAY. CONFIRM YOUR LOGIN CREDENTIALS: HTTP://BIT.LY/CONFIRM-LOGIN!!,1
"You've won a free iPhone! Limited time offer, claim now: http://bit.ly/free-iphone-claim",1
Your table at the restaurant is confirmed for 7pm tonight. ,0
Reminder: your dentist appointment is tomorrow at 10am. ,0
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login!!,1
Your table at the restaurant is confirmed for 7pm tonight. ,0
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123. ",0
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now,1
"YOUR DELIVERY IS ON HOLD, PAY A CUSTOMS FEE TO RELEASE YOUR PACKAGE: HTTP://TINYURL.COM/CUSTOMS-FEE!!",1
URGENT: Your bank account has been locked. Verify now at http://bit.ly/secure-bank to restore access.!!,1
ACT NOW! YOUR ACCOUNT ACCESS EXPIRES TODAY. CONFIRM YOUR LOGIN CREDENTIALS: HTTP://BIT.LY/CONFIRM-LOGIN!!,1
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund!!,1
"Mom: call me back when you get a chance, nothing urgent. ",0
Reminder: your dentist appointment is tomorrow at 10am. ,0
Happy birthday! Hope you have an amazing day. ,0
"YOUR VERIFICATION CODE IS REQUIRED TO UNLOCK YOUR ACCOUNT, REPLY WITH THE CODE SENT TO YOUR PHONE.!!",1
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now,1
Practice is moved to 5pm today instead of 4pm. ,0
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123. ",0
"Hey, are we still on for lunch tomorrow at noon? ",0
"YOUR CARD HAS BEEN CHARGED $499.99. IF THIS WASN'T YOU, VERIFY YOUR PASSWORD IMMEDIATELY: HTTP://BIT.LY/DISPUTE-NOW!!",1
"Your verification code is required to unlock your account, reply with the code sent to your phone.",1
Reminder: your dentist appointment is tomorrow at 10am.,0
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
"Hey, are we still on for lunch tomorrow at noon? ",0
"You've won a free iPhone! Limited time offer, claim now: http://bit.ly/free-iphone-claim",1
The package tracking shows it will arrive Thursday. ,0
"You've won a free iPhone! Limited time offer, claim now: http://bit.ly/free-iphone-claim",1
"Just landed, will call you in an hour. ",0
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login,1
"See you at the game this weekend, go team! ",0
Practice is moved to 5pm today instead of 4pm. ,0
Security alert: unusual login detected. Enter your OTP here to secure your account: http://bit.ly/secure-otp,1
"Your delivery is on hold, pay a customs fee to release your package: http://tinyurl.com/customs-fee",1
"Your gym class tomorrow is at 6am, don't forget your mat. ",0
Happy birthday! Hope you have an amazing day.,0
WARNING: suspicious activity on your account. Verify immediately or lose access permanently: http://bit.ly/act-now,1
"Your gym class tomorrow is at 6am, don't forget your mat. ",0
Happy birthday! Hope you have an amazing day. ,0
"Your delivery is on hold, pay a customs fee to release your package: http://tinyurl.com/customs-fee",1
Practice is moved to 5pm today instead of 4pm. ,0
"Your gym class tomorrow is at 6am, don't forget your mat. ",0
"YOUR VERIFICATION CODE IS REQUIRED TO UNLOCK YOUR ACCOUNT, REPLY WITH THE CODE SENT TO YOUR PHONE.!!",1
"See you at the game this weekend, go team! ",0
"Thanks for coming to the party last night, it was great seeing you! ",0
URGENT: Your bank account has been locked. Verify now at http://bit.ly/secure-bank to restore access.!!,1
Your flight AA204 is on time and boards at gate 12. ,0
Your prescription is ready for pickup at the pharmacy. ,0
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123. ",0
"Your delivery is on hold, pay a customs fee to release your package: http://tinyurl.com/customs-fee",1
Practice is moved to 5pm today instead of 4pm. ,0
Your library book is due back next Monday. ,0
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login!!,1
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
Reminder: your dentist appointment is tomorrow at 10am. ,0
"See you at the game this weekend, go team! ",0
Your package could not be delivered. Confirm your address and pay a small fee here: http://tinyurl.com/redeliver!!,1
"Your gym class tomorrow is at 6am, don't forget your mat. ",0
"Your gym class tomorrow is at 6am, don't forget your mat. ",0
Your Amazon package has been delivered to your front door. ,0
"Your verification code is required to unlock your account, reply with the code sent to your phone.",1
Happy birthday! Hope you have an amazing day. ,0
The package tracking shows it will arrive Thursday. ,0
Can you pick up milk on your way home? ,0
IRS NOTICE: YOU HAVE AN UNCLAIMED REFUND. VERIFY YOUR SSN TO RECEIVE IT: HTTP://BIT.LY/IRS-REFUND,1
Can you pick up milk on your way home? ,0
"Your gym class tomorrow is at 6am, don't forget your mat. ",0
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund!!,1
"Hey, are we still on for lunch tomorrow at noon? ",0
Your flight AA204 is on time and boards at gate 12. ,0
WARNING: suspicious activity on your account. Verify immediately or lose access permanently: http://bit.ly/act-now!!,1
WARNING: suspicious activity on your account. Verify immediately or lose access permanently: http://bit.ly/act-now,1
FINAL NOTICE: Your subscription payment failed. Update your card details immediately at http://bit.ly/update-pay,1
Security alert: unusual login detected. Enter your OTP here to secure your account: http://bit.ly/secure-otp,1
"Meeting moved to conference room B, same time. ",0
Your Amazon package has been delivered to your front door. ,0
WARNING: SUSPICIOUS ACTIVITY ON YOUR ACCOUNT. VERIFY IMMEDIATELY OR LOSE ACCESS PERMANENTLY: HTTP://BIT.LY/ACT-NOW,1
"Loved the photos from the trip, thanks for sharing! ",0
Your table at the restaurant is confirmed for 7pm tonight. ,0
Your library book is due back next Monday. ,0
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123.",0
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now!!,1
Can you pick up milk on your way home? ,0
FINAL NOTICE: Your subscription payment failed. Update your card details immediately at http://bit.ly/update-pay!!,1
"Loved the photos from the trip, thanks for sharing! ",0
Your library book is due back next Monday. ,0
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now,1
Can we reschedule our call to 3pm instead? ,0
"Your verification code is required to unlock your account, reply with the code sent to your phone.",1
"Just landed, will call you in an hour. ",0
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now!!,1
YOUR ELECTRICITY WILL BE DISCONNECTED TODAY UNLESS YOU PAY NOW: HTTP://BIT.LY/PAY-BILL-NOW,1
The package tracking shows it will arrive Thursday. ,0
Can we reschedule our call to 3pm instead? ,0
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now,1
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123. ",0
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
Your flight AA204 is on time and boards at gate 12. ,0
"YOU'VE WON A FREE IPHONE! LIMITED TIME OFFER, CLAIM NOW: HTTP://BIT.LY/FREE-IPHONE-CLAIM",1
"Hey, are we still on for lunch tomorrow at noon? ",0
Your table at the restaurant is confirmed for 7pm tonight. ,0
Can we reschedule our call to 3pm instead? ,0
Happy birthday! Hope you have an amazing day. ,0
YOUR ELECTRICITY WILL BE DISCONNECTED TODAY UNLESS YOU PAY NOW: HTTP://BIT.LY/PAY-BILL-NOW!!,1
WARNING: suspicious activity on your account. Verify immediately or lose access permanently: http://bit.ly/act-now,1
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123. ",0
"Hey, are we still on for lunch tomorrow at noon? ",0
YOU HAVE BEEN SELECTED FOR A CASH REWARD! CLICK HERE TO CLAIM BEFORE IT EXPIRES: HTTP://BIT.LY/CASH-REWARD,1
"YOUR CARD HAS BEEN CHARGED $499.99. IF THIS WASN'T YOU, VERIFY YOUR PASSWORD IMMEDIATELY: HTTP://BIT.LY/DISPUTE-NOW",1
Your table at the restaurant is confirmed for 7pm tonight. ,0
IRS NOTICE: YOU HAVE AN UNCLAIMED REFUND. VERIFY YOUR SSN TO RECEIVE IT: HTTP://BIT.LY/IRS-REFUND,1
"Your card has been charged $499.99. If this wasn't you, verify your password immediately: http://bit.ly/dispute-now!!",1
Your table at the restaurant is confirmed for 7pm tonight. ,0
YOUR ELECTRICITY WILL BE DISCONNECTED TODAY UNLESS YOU PAY NOW: HTTP://BIT.LY/PAY-BILL-NOW,1
"Your verification code is required to unlock your account, reply with the code sent to your phone.",1
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now!!,1
"See you at the game this weekend, go team! ",0
Reminder: your dentist appointment is tomorrow at 10am. ,0
YOU HAVE BEEN SELECTED FOR A CASH REWARD! CLICK HERE TO CLAIM BEFORE IT EXPIRES: HTTP://BIT.LY/CASH-REWARD,1
ACT NOW! YOUR ACCOUNT ACCESS EXPIRES TODAY. CONFIRM YOUR LOGIN CREDENTIALS: HTTP://BIT.LY/CONFIRM-LOGIN!!,1
"Loved the photos from the trip, thanks for sharing! ",0
Your table at the restaurant is confirmed for 7pm tonight. ,0
"Your gym class tomorrow is at 6am, don't forget your mat.",0
"See you at the game this weekend, go team! ",0
IRS NOTICE: YOU HAVE AN UNCLAIMED REFUND. VERIFY YOUR SSN TO RECEIVE IT: HTTP://BIT.LY/IRS-REFUND,1
Can we reschedule our call to 3pm instead? ,0
"Your verification code is required to unlock your account, reply with the code sent to your phone.",1
"Hey, are we still on for lunch tomorrow at noon? ",0
"Your verification code is required to unlock your account, reply with the code sent to your phone.",1
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
The package tracking shows it will arrive Thursday. ,0
"YOU'VE WON A FREE IPHONE! LIMITED TIME OFFER, CLAIM NOW: HTTP://BIT.LY/FREE-IPHONE-CLAIM",1
Your flight AA204 is on time and boards at gate 12. ,0
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now,1
Practice is moved to 5pm today instead of 4pm. ,0
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now,1
Can we reschedule our call to 3pm instead? ,0
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now,1
WARNING: suspicious activity on your account. Verify immediately or lose access permanently: http://bit.ly/act-now!!,1
Happy birthday! Hope you have an amazing day. ,0
"Just landed, will call you in an hour.",0
Can you pick up milk on your way home? ,0
Your table at the restaurant is confirmed for 7pm tonight. ,0
"Hey, are we still on for lunch tomorrow at noon? ",0
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login,1
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now!!,1
URGENT: YOUR BANK ACCOUNT HAS BEEN LOCKED. VERIFY NOW AT HTTP://BIT.LY/SECURE-BANK TO RESTORE ACCESS.,1
"You've won a free iPhone! Limited time offer, claim now: http://bit.ly/free-iphone-claim",1
Can you pick up milk on your way home? ,0
IRS NOTICE: YOU HAVE AN UNCLAIMED REFUND. VERIFY YOUR SSN TO RECEIVE IT: HTTP://BIT.LY/IRS-REFUND,1
ACT NOW! YOUR ACCOUNT ACCESS EXPIRES TODAY. CONFIRM YOUR LOGIN CREDENTIALS: HTTP://BIT.LY/CONFIRM-LOGIN,1
Congratulations! You have won a $1000 gift card. Claim your prize now: http://bit.ly/claim-prize,1
"YOUR VERIFICATION CODE IS REQUIRED TO UNLOCK YOUR ACCOUNT, REPLY WITH THE CODE SENT TO YOUR PHONE.",1
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
"Loved the photos from the trip, thanks for sharing! ",0
The package tracking shows it will arrive Thursday. ,0
Your package could not be delivered. Confirm your address and pay a small fee here: http://tinyurl.com/redeliver,1
"Meeting moved to conference room B, same time. ",0
URGENT: Your bank account has been locked. Verify now at http://bit.ly/secure-bank to restore access.,1
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login,1
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
Your flight AA204 is on time and boards at gate 12. ,0
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now,1
YOU HAVE BEEN SELECTED FOR A CASH REWARD! CLICK HERE TO CLAIM BEFORE IT EXPIRES: HTTP://BIT.LY/CASH-REWARD,1
"Hey, are we still on for lunch tomorrow at noon? ",0
"See you at the game this weekend, go team! ",0
"Your delivery is on hold, pay a customs fee to release your package: http://tinyurl.com/customs-fee!!",1
The package tracking shows it will arrive Thursday. ,0
"Your gym class tomorrow is at 6am, don't forget your mat. ",0
"YOU'VE WON A FREE IPHONE! LIMITED TIME OFFER, CLAIM NOW: HTTP://BIT.LY/FREE-IPHONE-CLAIM",1
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123. ",0
Security alert: unusual login detected. Enter your OTP here to secure your account: http://bit.ly/secure-otp,1
Your package could not be delivered. Confirm your address and pay a small fee here: http://tinyurl.com/redeliver,1
Congratulations! You have won a $1000 gift card. Claim your prize now: http://bit.ly/claim-prize,1
Your flight AA204 is on time and boards at gate 12. ,0
"YOU'VE WON A FREE IPHONE! LIMITED TIME OFFER, CLAIM NOW: HTTP://BIT.LY/FREE-IPHONE-CLAIM",1
"YOUR VERIFICATION CODE IS REQUIRED TO UNLOCK YOUR ACCOUNT, REPLY WITH THE CODE SENT TO YOUR PHONE.",1
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123. ",0
Happy birthday! Hope you have an amazing day. ,0
Security alert: unusual login detected. Enter your OTP here to secure your account: http://bit.ly/secure-otp,1
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123. ",0
Your Amazon package has been delivered to your front door. ,0
"Meeting moved to conference room B, same time. ",0
"You've won a free iPhone! Limited time offer, claim now: http://bit.ly/free-iphone-claim",1
"Just landed, will call you in an hour. ",0
"Loved the photos from the trip, thanks for sharing! ",0
You have been selected for a cash reward! Click here to claim before it expires: http://bit.ly/cash-reward,1
"See you at the game this weekend, go team! ",0
IRS NOTICE: YOU HAVE AN UNCLAIMED REFUND. VERIFY YOUR SSN TO RECEIVE IT: HTTP://BIT.LY/IRS-REFUND,1
Happy birthday! Hope you have an amazing day. ,0
"Mom: call me back when you get a chance, nothing urgent. ",0
WARNING: suspicious activity on your account. Verify immediately or lose access permanently: http://bit.ly/act-now,1
"Mom: call me back when you get a chance, nothing urgent. ",0
"Your delivery is on hold, pay a customs fee to release your package: http://tinyurl.com/customs-fee",1
Your Amazon package has been delivered to your front door. ,0
Congratulations! You have won a $1000 gift card. Claim your prize now: http://bit.ly/claim-prize!!,1
"Your verification code is required to unlock your account, reply with the code sent to your phone.!!",1
FINAL NOTICE: Your subscription payment failed. Update your card details immediately at http://bit.ly/update-pay,1
Security alert: unusual login detected. Enter your OTP here to secure your account: http://bit.ly/secure-otp!!,1
WARNING: suspicious activity on your account. Verify immediately or lose access permanently: http://bit.ly/act-now,1
"YOUR DELIVERY IS ON HOLD, PAY A CUSTOMS FEE TO RELEASE YOUR PACKAGE: HTTP://TINYURL.COM/CUSTOMS-FEE!!",1
YOUR ACCOUNT WILL BE SUSPENDED IN 24 HOURS. VERIFY YOUR IDENTITY IMMEDIATELY: HTTP://BIT.LY/VERIFY-NOW!!,1
"Your verification code is required to unlock your account, reply with the code sent to your phone.!!",1
Can you pick up milk on your way home? ,0
"YOUR VERIFICATION CODE IS REQUIRED TO UNLOCK YOUR ACCOUNT, REPLY WITH THE CODE SENT TO YOUR PHONE.",1
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now,1
Can we reschedule our call to 3pm instead? ,0
"Just landed, will call you in an hour. ",0
The package tracking shows it will arrive Thursday. ,0
YOUR ACCOUNT WILL BE SUSPENDED IN 24 HOURS. VERIFY YOUR IDENTITY IMMEDIATELY: HTTP://BIT.LY/VERIFY-NOW!!,1
Your table at the restaurant is confirmed for 7pm tonight. ,0
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now,1
"Thanks for coming to the party last night, it was great seeing you! ",0
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now!!,1
"YOUR DELIVERY IS ON HOLD, PAY A CUSTOMS FEE TO RELEASE YOUR PACKAGE: HTTP://TINYURL.COM/CUSTOMS-FEE!!",1
Your package could not be delivered. Confirm your address and pay a small fee here: http://tinyurl.com/redeliver,1
Your table at the restaurant is confirmed for 7pm tonight.,0
"Your card has been charged $499.99. If this wasn't you, verify your password immediately: http://bit.ly/dispute-now",1
Happy birthday! Hope you have an amazing day. ,0
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login!!,1
"YOUR CARD HAS BEEN CHARGED $499.99. IF THIS WASN'T YOU, VERIFY YOUR PASSWORD IMMEDIATELY: HTTP://BIT.LY/DISPUTE-NOW!!",1
Practice is moved to 5pm today instead of 4pm. ,0
Happy birthday! Hope you have an amazing day. ,0
You have been selected for a cash reward! Click here to claim before it expires: http://bit.ly/cash-reward!!,1
"Hey, are we still on for lunch tomorrow at noon? ",0
The package tracking shows it will arrive Thursday. ,0
Security alert: unusual login detected. Enter your OTP here to secure your account: http://bit.ly/secure-otp,1
Reminder: your dentist appointment is tomorrow at 10am. ,0
Your table at the restaurant is confirmed for 7pm tonight. ,0
Your Amazon package has been delivered to your front door. ,0
FINAL NOTICE: Your subscription payment failed. Update your card details immediately at http://bit.ly/update-pay,1
Your Amazon package has been delivered to your front door. ,0
FINAL NOTICE: Your subscription payment failed. Update your card details immediately at http://bit.ly/update-pay,1
"YOUR VERIFICATION CODE IS REQUIRED TO UNLOCK YOUR ACCOUNT, REPLY WITH THE CODE SENT TO YOUR PHONE.!!",1
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login,1
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login!!,1
Practice is moved to 5pm today instead of 4pm. ,0
URGENT: YOUR BANK ACCOUNT HAS BEEN LOCKED. VERIFY NOW AT HTTP://BIT.LY/SECURE-BANK TO RESTORE ACCESS.!!,1
"See you at the game this weekend, go team! ",0
Your library book is due back next Monday. ,0
WARNING: suspicious activity on your account. Verify immediately or lose access permanently: http://bit.ly/act-now,1
Your flight AA204 is on time and boards at gate 12.,0
"Meeting moved to conference room B, same time. ",0
"Hey, are we still on for lunch tomorrow at noon? ",0
Your table at the restaurant is confirmed for 7pm tonight. ,0
Can we reschedule our call to 3pm instead?,0
"Your card has been charged $499.99. If this wasn't you, verify your password immediately: http://bit.ly/dispute-now",1
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
URGENT: YOUR BANK ACCOUNT HAS BEEN LOCKED. VERIFY NOW AT HTTP://BIT.LY/SECURE-BANK TO RESTORE ACCESS.!!,1
"Your verification code is required to unlock your account, reply with the code sent to your phone.!!",1
"YOUR DELIVERY IS ON HOLD, PAY A CUSTOMS FEE TO RELEASE YOUR PACKAGE: HTTP://TINYURL.COM/CUSTOMS-FEE",1
FINAL NOTICE: YOUR SUBSCRIPTION PAYMENT FAILED. UPDATE YOUR CARD DETAILS IMMEDIATELY AT HTTP://BIT.LY/UPDATE-PAY!!,1
Reminder: your dentist appointment is tomorrow at 10am. ,0
"YOUR DELIVERY IS ON HOLD, PAY A CUSTOMS FEE TO RELEASE YOUR PACKAGE: HTTP://TINYURL.COM/CUSTOMS-FEE",1
Your library book is due back next Monday. ,0
Reminder: your dentist appointment is tomorrow at 10am. ,0
Can we reschedule our call to 3pm instead? ,0
"Hey, are we still on for lunch tomorrow at noon? ",0
Your flight AA204 is on time and boards at gate 12. ,0
"Your verification code is required to unlock your account, reply with the code sent to your phone.",1
The package tracking shows it will arrive Thursday.,0
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now,1
FINAL NOTICE: Your subscription payment failed. Update your card details immediately at http://bit.ly/update-pay,1
"Just landed, will call you in an hour. ",0
Reminder: your dentist appointment is tomorrow at 10am. ,0
"You've won a free iPhone! Limited time offer, claim now: http://bit.ly/free-iphone-claim",1
Your package could not be delivered. Confirm your address and pay a small fee here: http://tinyurl.com/redeliver,1
The package tracking shows it will arrive Thursday. ,0
Your table at the restaurant is confirmed for 7pm tonight. ,0
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
"See you at the game this weekend, go team! ",0
URGENT: YOUR BANK ACCOUNT HAS BEEN LOCKED. VERIFY NOW AT HTTP://BIT.LY/SECURE-BANK TO RESTORE ACCESS.!!,1
Your package could not be delivered. Confirm your address and pay a small fee here: http://tinyurl.com/redeliver,1
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now!!,1
Your Amazon package has been delivered to your front door. ,0
"Just landed, will call you in an hour. ",0
"YOUR CARD HAS BEEN CHARGED $499.99. IF THIS WASN'T YOU, VERIFY YOUR PASSWORD IMMEDIATELY: HTTP://BIT.LY/DISPUTE-NOW!!",1
URGENT: Your bank account has been locked. Verify now at http://bit.ly/secure-bank to restore access.!!,1
Reminder: your dentist appointment is tomorrow at 10am. ,0
Security alert: unusual login detected. Enter your OTP here to secure your account: http://bit.ly/secure-otp,1
Your Amazon package has been delivered to your front door. ,0
Congratulations! You have won a $1000 gift card. Claim your prize now: http://bit.ly/claim-prize,1
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login,1
"See you at the game this weekend, go team! ",0
Your Amazon package has been delivered to your front door. ,0
URGENT: Your bank account has been locked. Verify now at http://bit.ly/secure-bank to restore access.,1
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
YOUR PACKAGE COULD NOT BE DELIVERED. CONFIRM YOUR ADDRESS AND PAY A SMALL FEE HERE: HTTP://TINYURL.COM/REDELIVER,1
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123. ",0
Your Amazon package has been delivered to your front door. ,0
YOU HAVE BEEN SELECTED FOR A CASH REWARD! CLICK HERE TO CLAIM BEFORE IT EXPIRES: HTTP://BIT.LY/CASH-REWARD,1
"Hey, are we still on for lunch tomorrow at noon?",0
Your library book is due back next Monday. ,0
Your library book is due back next Monday. ,0
FINAL NOTICE: Your subscription payment failed. Update your card details immediately at http://bit.ly/update-pay!!,1
"Meeting moved to conference room B, same time.",0
SECURITY ALERT: UNUSUAL LOGIN DETECTED. ENTER YOUR OTP HERE TO SECURE YOUR ACCOUNT: HTTP://BIT.LY/SECURE-OTP,1
"YOU'VE WON A FREE IPHONE! LIMITED TIME OFFER, CLAIM NOW: HTTP://BIT.LY/FREE-IPHONE-CLAIM!!",1
Can you pick up milk on your way home? ,0
YOUR ELECTRICITY WILL BE DISCONNECTED TODAY UNLESS YOU PAY NOW: HTTP://BIT.LY/PAY-BILL-NOW,1
YOUR ELECTRICITY WILL BE DISCONNECTED TODAY UNLESS YOU PAY NOW: HTTP://BIT.LY/PAY-BILL-NOW!!,1
Your prescription is ready for pickup at the pharmacy.,0
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now,1
"Your verification code is required to unlock your account, reply with the code sent to your phone.",1
FINAL NOTICE: Your subscription payment failed. Update your card details immediately at http://bit.ly/update-pay!!,1
CONGRATULATIONS! YOU HAVE WON A $1000 GIFT CARD. CLAIM YOUR PRIZE NOW: HTTP://BIT.LY/CLAIM-PRIZE!!,1
"Mom: call me back when you get a chance, nothing urgent. ",0
Your Amazon package has been delivered to your front door. ,0
Your library book is due back next Monday. ,0
"Thanks for coming to the party last night, it was great seeing you! ",0
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login,1
URGENT: Your bank account has been locked. Verify now at http://bit.ly/secure-bank to restore access.,1
"Mom: call me back when you get a chance, nothing urgent. ",0
Congratulations! You have won a $1000 gift card. Claim your prize now: http://bit.ly/claim-prize!!,1
Security alert: unusual login detected. Enter your OTP here to secure your account: http://bit.ly/secure-otp,1
"Your verification code is required to unlock your account, reply with the code sent to your phone.",1
ACT NOW! YOUR ACCOUNT ACCESS EXPIRES TODAY. CONFIRM YOUR LOGIN CREDENTIALS: HTTP://BIT.LY/CONFIRM-LOGIN,1
"Hey, are we still on for lunch tomorrow at noon? ",0
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now,1
Happy birthday! Hope you have an amazing day. ,0
Your table at the restaurant is confirmed for 7pm tonight. ,0
